type,cycles
cached,72
cached,36
cached,36
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,36
cached,72
cached,36
cached,36
cached,36
cached,72
cached,36
cached,72
cached,72
cached,36
cached,36
cached,72
cached,36
cached,72
cached,36
cached,36
cached,72
cached,72
cached,36
cached,36
cached,36
cached,72
cached,36
cached,36
cached,72
cached,36
cached,72
cached,36
cached,72
cached,72
cached,36
cached,36
cached,36
cached,36
cached,36
cached,36
cached,72
cached,72
cached,36
cached,72
cached,36
cached,36
cached,36
cached,36
cached,72
cached,36
cached,72
cached,72
cached,36
cached,72
cached,36
cached,36
cached,36
cached,36
cached,72
cached,36
cached,72
cached,36
cached,72
cached,36
cached,36
cached,36
cached,36
cached,72
cached,36
cached,36
cached,72
cached,36
cached,36
cached,72
cached,36
cached,72
cached,36
cached,36
cached,72
cached,36
cached,72
cached,72
cached,36
cached,72
cached,36
cached,36
cached,36
cached,72
cached,72
cached,36
cached,72
cached,72
cached,36
cached,36
cached,72
cached,36
cached,72
cached,36
cached,72
cached,72
cached,36
cached,72
cached,72
cached,36
cached,72
cached,36
cached,36
cached,36
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,36
cached,72
cached,36
cached,36
cached,36
cached,72
cached,36
cached,72
cached,72
cached,36
cached,36
cached,36
cached,72
cached,36
cached,72
cached,72
cached,36
cached,36
cached,72
cached,36
cached,72
cached,36
cached,36
cached,36
cached,36
cached,72
cached,36
cached,36
cached,72
cached,36
cached,36
cached,36
cached,36
cached,36
cached,72
cached,36
cached,72
cached,36
cached,72
cached,36
cached,72
cached,36
cached,36
cached,72
cached,36
cached,72
cached,72
cached,36
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,36
cached,36
cached,36
cached,72
cached,36
cached,72
cached,36
cached,72
cached,72
cached,36
cached,72
cached,36
cached,72
cached,36
cached,72
cached,36
cached,72
cached,36
cached,72
cached,36
cached,72
cached,36
cached,36
cached,36
cached,36
cached,36
cached,36
cached,36
cached,36
cached,36
cached,72
cached,72
cached,36
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,36
cached,36
cached,36
cached,36
cached,36
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,36
cached,36
cached,36
cached,36
cached,36
cached,36
cached,36
cached,36
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,36
cached,72
cached,36
cached,36
cached,72
cached,72
cached,72
cached,72
cached,36
cached,36
cached,36
uncached,288
uncached,288
uncached,288
uncached,324
uncached,324
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,828
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,252
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,252
uncached,288
uncached,288
uncached,324
uncached,288
uncached,288
uncached,1404
uncached,324
uncached,288
uncached,288
uncached,324
uncached,324
uncached,288
uncached,288
uncached,324
uncached,324
uncached,324
uncached,288
uncached,324
uncached,324
uncached,324
uncached,288
uncached,324
uncached,324
uncached,288
uncached,288
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,1188
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,288
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,756
uncached,324
uncached,324
uncached,324
uncached,288
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,252
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,252
uncached,1332
uncached,288
uncached,288
uncached,324
uncached,324
uncached,324
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,252
uncached,288
uncached,360
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,324
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,1224
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,252
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,324
uncached,288
uncached,324
uncached,288
uncached,288
uncached,1296
uncached,252
uncached,324
uncached,288
uncached,288
uncached,252
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,252
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,252
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,1548
uncached,252
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,252
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,252
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,252
uncached,288
uncached,288
uncached,288
uncached,288
uncached,792
uncached,288
uncached,252
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,252
uncached,288
uncached,288
uncached,288
